,date,o,h,l,c,volume
0,2025-08-21,87.018,87.323,86.921,87.267,0
1,2025-08-20,87.043,87.166,86.972,86.998,0
2,2025-08-19,87.267,87.372,86.913,87.04,0
3,2025-08-18,87.519,87.542,87.276,87.291,0
4,2025-08-15,87.687,87.689,87.402,87.508,0
5,2025-08-14,87.442,87.68,87.38,87.671,0
6,2025-08-13,87.58,87.72,87.371,87.43,0
7,2025-08-12,87.6463,87.737,87.558,87.586,0
8,2025-08-11,87.536,87.735,87.467,87.65,0
9,2025-08-08,87.42,87.745,87.42,87.461,0
10,2025-08-07,87.687,87.793,87.32,87.418,0
11,2025-08-06,87.78,87.839,87.607,87.7,0
12,2025-08-05,87.972,87.972,87.731,87.802,0
13,2025-08-04,87.255,87.7,87.135,87.67,0
14,2025-08-01,87.485,87.668,87.142,87.23,0
15,2025-07-31,87.71,87.791,87.479,87.496,0
16,2025-07-30,87.053,87.818,87.045,87.662,0
17,2025-07-29,86.741,87.081,86.73,87.081,0
18,2025-07-28,86.451,86.697,86.397,86.669,0
19,2025-07-25,86.427,86.625,86.387,86.475,0
20,2025-07-24,86.396,86.417,86.236,86.37,0
21,2025-07-23,86.323,86.465,86.279,86.37,0
22,2025-07-22,86.18,86.414,86.159,86.294,0
23,2025-07-21,86.129,86.35,86.127,86.18,0
24,2025-07-18,86.005,86.225,85.967,86.145,0
25,2025-07-17,85.917,86.108,85.791,86.02,0
26,2025-07-16,85.954,86.053,85.728,85.87,0
27,2025-07-15,86.004,86.027,85.724,85.963,0
28,2025-07-14,85.795,86.0475,85.795,85.989,0
29,2025-07-11,85.72,85.905,85.685,85.8,0
30,2025-07-10,85.71,85.738,85.5275,85.721,0
31,2025-07-09,85.75,85.927,85.623,85.67,0
32,2025-07-08,85.749,85.805,85.619,85.75,0
33,2025-07-07,85.57,86.0275,85.57,85.75,0
34,2025-07-04,85.453,85.506,85.302,85.469,0
35,2025-07-03,85.554,85.7025,85.165,85.405,0
36,2025-07-02,85.612,85.7525,85.551,85.62,0
37,2025-07-01,85.69,85.69,85.437,85.62,0
38,2025-06-30,85.451,85.817,85.431,85.69,0
39,2025-06-27,85.63,85.676,85.403,85.44,0
40,2025-06-26,85.994,86.05,85.604,85.63,0
41,2025-06-25,85.907,86.13,85.786,86.03,0
42,2025-06-24,86.152,86.26,85.872,85.916,0
43,2025-06-23,86.783,86.864,86.543,86.56,0
44,2025-06-20,86.679,86.68,86.502,86.56,0
45,2025-06-19,86.411,86.8925,86.41,86.813,0
46,2025-06-18,86.3,86.5525,86.258,86.42,0
47,2025-06-17,86.025,86.376,85.885,86.29,0
48,2025-06-16,86.144,86.255,85.754,85.818,0
49,2025-06-13,86.159,86.211,85.918,86.081,0
50,2025-06-12,85.46,85.6475,85.396,85.553,0
51,2025-06-11,85.555,85.616,85.396,85.44,0
52,2025-06-10,85.661,85.673,85.49,85.569,0
53,2025-06-09,85.798,85.798,85.447,85.65,0
54,2025-06-06,85.833,85.99,85.61,85.758,0
55,2025-06-05,85.831,85.9625,85.626,85.8,0
56,2025-06-04,85.661,86.0225,85.59,85.831,0
57,2025-06-03,85.306,85.661,85.306,85.661,0
58,2025-06-02,85.477,85.562,85.251,85.308,0
59,2025-05-30,85.371,85.64,85.224,85.477,0
60,2025-05-29,85.367,85.6175,85.347,85.367,0
61,2025-05-28,85.277,85.71,85.277,85.367,0
62,2025-05-27,85.04,85.455,85.04,85.326,0
63,2025-05-26,85.152,85.2125,84.76,85.04,0
64,2025-05-23,85.948,86.0425,85.081,85.151,0
65,2025-05-22,85.57,86.105,85.504,85.948,0
66,2025-05-21,85.51,85.695,85.457,85.57,0
67,2025-05-20,85.36,85.6525,85.303,85.51,0
68,2025-05-19,85.47,85.62,85.297,85.345,0
69,2025-05-16,85.498,85.7,85.227,85.552,0
70,2025-05-15,85.36,85.73,85.323,85.496,0
71,2025-05-14,85.228,85.5175,84.999,85.38,0
72,2025-05-13,84.842,85.47,84.605,85.25,0
73,2025-05-12,84.67,84.96,84.567,84.842,0
74,2025-05-09,85.827,85.905,85.238,85.359,0
75,2025-05-08,84.667,85.77,84.503,85.488,0
76,2025-05-07,84.622,84.93,84.448,84.667,0
77,2025-05-06,84.255,84.6325,84.214,84.32,0
78,2025-05-05,84.479,84.5,84.089,84.255,0
79,2025-05-02,84.56,84.641,83.74,84.479,0
80,2025-05-01,84.549,84.697,84.527,84.56,0
81,2025-04-30,85.112,85.2625,84.422,84.549,0
82,2025-04-29,85.115,85.39,84.92,85.1,0
83,2025-04-28,85.36,85.45,84.901,85.115,0
84,2025-04-25,85.278,85.655,85.06,85.36,0
85,2025-04-24,85.324,85.6675,85.201,85.285,0
86,2025-04-23,85.14,85.525,85.14,85.324,0
87,2025-04-22,85.15,85.209,85.021,85.14,0
88,2025-04-21,85.409,85.409,84.984,85.15,0
89,2025-04-18,85.36,85.46,85.36,85.409,0
90,2025-04-17,85.567,85.6125,85.265,85.36,0
91,2025-04-16,85.663,85.7725,85.531,85.567,0
92,2025-04-15,86.001,86.04,85.56,85.663,0
93,2025-04-14,86.16,86.16,85.844,86.003,0
94,2025-04-11,86.17,86.244,85.91,86.16,0
95,2025-04-10,86.616,86.616,86.089,86.17,0
96,2025-04-09,86.22,86.71,86.22,86.616,0
97,2025-04-08,85.834,86.2925,85.787,86.22,0
98,2025-04-07,85.482,85.8975,85.482,85.816,0
99,2025-04-04,85.227,85.593,84.907,85.482,0
